ID,long,lat,weight,location,commune,district,voivodeship
212109035,20.0435274,50.0077222,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212233554,19.9264437,50.0096666,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212249571,19.9791382,50.1001111,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212271452,19.9807493,50.0696937,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212302786,19.9994163,50.0842218,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212327262,20.0453885,50.0982774,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212331098,19.9052777,50.0893885,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212350062,20.0127777,50.0163055,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212352812,19.8952774,50.0877496,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212356588,19.9416385,50.0599444,C,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207050007,19.944833,50.0716382,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207112349,19.9247215,50.0716382,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207127638,19.9250826,50.0570277,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207129816,19.9536388,50.0407774,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207141242,20.0458885,50.0385552,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207144953,20.0081944,50.0744715,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207154304,19.974416,50.0668604,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207158559,19.9987774,50.0133055,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207159031,20.0179715,50.0849996,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207160492,19.9182771,50.0447496,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207163657,20.0165277,50.0059444,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207168496,19.9786104,50.0772493,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207171640,19.9629722,50.05925,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207172581,20.0651111,50.0090555,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207172599,20.0045833,50.1070555,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207176824,19.9367496,50.0690271,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207178674,20.00375,50.0897218,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207182990,19.9913052,50.0253604,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207183606,19.9418052,50.0598333,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207185554,19.9336107,50.0631111,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207186763,19.96375,50.0729993,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207190936,19.9097777,50.0288882,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207198960,19.8506944,50.0254993,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207201303,19.935583,50.0499163,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207205959,19.9634166,50.0543888,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207205969,19.9669437,50.0847774,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207206817,19.9451663,50.0666937,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207209565,19.9454996,50.0645555,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207212884,19.9059166,50.0578055,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207218430,19.9626111,50.0182771,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207225774,20.0455552,50.0551111,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207231352,20.0521944,50.0760271,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207244141,19.9316104,50.0672771,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207245308,19.9238882,50.0591666,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207253044,19.9672493,50.0061388,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207261729,19.9948607,50.0204715,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207265324,19.9450552,50.0646111,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207282470,19.9312493,50.0726382,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207288955,19.9524722,50.0716937,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207299843,19.9884163,50.0894718,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207367441,20.0076666,50.0936107,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207371613,19.9953052,50.0209437,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207378454,19.9736382,50.0667493,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207380078,19.9238604,50.0591388,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207387820,20.0328604,50.0181382,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
207398063,19.9422774,50.0357774,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212061101,19.9858607,50.0698048,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212070585,19.9240548,50.094083,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212073385,20.0004722,50.0844996,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212080971,19.9540277,50.0484996,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212082324,19.9484163,50.0535833,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212087918,19.9205826,50.0908607,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212090620,19.9036944,50.0485552,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212091346,20.0490552,50.0166388,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212095912,19.9427218,50.0499718,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212096873,19.9601666,50.0531666,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212103307,19.9403052,50.0607222,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212105244,19.9641388,50.048833,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
212117137,19.9182493,50.0569444,L,Kraków,Kraków,Kraków,MAŁOPOLSKIE
